wallet_id,deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,total_deposit_eth,total_borrow_eth,total_repay_eth,total_redeem_eth,failed_tx_count,total_transactions,avg_time_gap,min_time_gap,burst_count,last_active_days_ago,is_risky,risk_score
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0,0,0,0,0,0.0,0.0,0.0,0.0,50,1946,111632.53161953727,0,578,500,1,1000
0x06b51c6882b27cb05e712185531c1f74996dd988,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,141.0,0,1,1745,0,209
0x0795732aacc448030ef374374eaae57d2965c16c,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,984.0,0,1,1705,0,209
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,0,0,0,0,0,0.0,0.0,0.0,0.0,0,24,7060239.782608695,0,2,312,0,204
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1839808.6666666667,0,1,1676,0,209
0x104ae61d8d487ad689969a17807ddc338b445416,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,15079035.5,0,1,986,0,208
0x111c7208a7e2af345d36b6d4aace8740d61a3078,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,705.0,0,1,1724,0,208
0x124853fecb522c57d9bd5c21231058696ca6d596,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,398.4,0,3,1722,0,210
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,173.0,5,1,1686,0,209
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0,0,0,0,0,0.0,0.0,0.0,0.0,3,120,84956.01680672269,0,39,1501,1,259
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,624822.3333333334,68,1,1491,0,209
0x19df3e87f73c4aaf4809295561465b993e102668,0,0,0,0,0,0.0,0.0,0.0,0.0,0,16,12241959.266666668,0,1,60,0,205
0x1ab2ccad4fc97c9968ea87d4435326715be32872,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,288.0,0,1,1716,0,209
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,0,0,0,0,0,0.0,0.0,0.0,0.0,5,115,200274.52631578947,0,17,1402,0,272
0x22d7510588d90ed5a87e0f838391aaafa707c34b,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,4882189.0,4882189,0,1811,0,208
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,0,0,0,0,0,0.0,0.0,0.0,0.0,1,21,699601.2,0,7,1709,0,225
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,8310587.4,5,1,1686,0,208
0x27f72a000d8e9f324583f3a3491ea66998275b28,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,233202.0,0,1,1715,0,209
0x2844658bf341db96aa247259824f42025e3bcec2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,29148.5,0,1,1684,0,209
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,686.6666666666666,0,1,1729,0,209
0x330513970efd9e8dd606275fb4c50378989b3204,0,0,0,0,0,0.0,0.0,0.0,0.0,12,104,1548253.6893203883,0,22,335,1,390
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,0,0,0,0,0,0.0,0.0,0.0,0.0,2,99,554266.4693877551,98,1,1805,0,215
0x3867d222ba91236ad4d12c31056626f9e798629c,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,518.5,0,1,1687,0,209
0x3a44be4581137019f83021eeee72b7dc57756069,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,140.5,0,1,1737,0,209
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,19486.5,2119,0,1716,0,208
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,0,0,0,0,0,0.0,0.0,0.0,0.0,30,169,1006343.4166666666,0,43,232,1,677
0x4814be124d7fe3b240eb46061f7ddfab468fe122,0,0,0,0,0,0.0,0.0,0.0,0.0,6,211,62875.671428571426,0,55,1582,1,297
0x4839e666e2baf12a51bf004392b35972eeddeabf,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15,307607.5714285714,15,4,1622,0,208
0x4c4d05fe859279c91b074429b5fc451182cec745,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,9794975.0,262,0,1456,0,208
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,0,0,0,0,0,0.0,0.0,0.0,0.0,11,252,437389.90836653387,0,82,1452,1,389
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,223488.0,33,1,1700,0,209
0x4e61251336c32e4fe6bfd5fab014846599321389,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,4688752.666666667,0,1,1523,0,209
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,5399030.0,0,1,1545,0,209
0x507b6c0d950702f066a9a1bd5e85206f87b065ba,0,0,0,0,0,0.0,0.0,0.0,0.0,0,38,2463815.6486486485,0,12,426,0,209
0x54e19653be9d4143b08994906be0e27555e8834d,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,557.6,9,2,2199,0,209
0x56ba823641bfc317afc8459bf27feed6eb9ff59f,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1133345.6666666667,0,1,1671,0,209
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,3687233.0,0,1,1598,0,209
0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,11188057.0,0,1,543,0,207
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,4322033.0,5,1,1576,0,209
0x58d68d4bcf9725e40353379cec92b90332561683,0,0,0,0,0,0.0,0.0,0.0,0.0,1,47,2836526.6739130435,0,10,179,0,221
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,168.0,0,1,1710,0,209
0x612a3500559be7be7703de6dc397afb541a16f7f,0,0,0,0,0,0.0,0.0,0.0,0.0,2,112,604014.8018018018,20,19,924,0,227
0x623af911f493747c216ad389c7805a37019c662d,0,0,0,0,0,0.0,0.0,0.0,0.0,3,28,7502847.518518519,14,2,373,0,250
0x6a2752a534faacaaa153bffbb973dd84e0e5497b,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15,8195155.857142857,24,4,352,0,208
0x6d69ca3711e504658977367e13c300ab198379f1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,564353.6666666666,44,1,1707,0,209
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,0,0,0,0,0,0.0,0.0,0.0,0.0,0,11,51044.1,3,1,1703,0,207
