blockNumber,blockHash,timeStamp,hash,nonce,transactionIndex,from,to,value,gas,gasPrice,input,methodId,functionName,contractAddress,cumulativeGasUsed,txreceipt_status,gasUsed,confirmations,isError,wallet_id
8472545,0x671c321d574442aa6d5201f10248038051b0fcadf74438105e53b6dea20b5d40,1567451347,0x1c61798644a09960097e8d16570248b3e899e5437ca3ef15febcf67a10a4017d,696,24,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0,450000,2100000000,0xc2998238000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000070000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c100000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563000000000000000000000000c11b1268c1a384e55c48c2391d8d480264a3a7f4000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407,0xc2998238,enterMarkets(address[] cTokens),,7806165,1.0,389445,14536455,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
8472628,0x81395965baaf76624e9736de321c3a5e5280938d154f1116d28a14488fd25d88,1567452519,0x3703dbfc7075fda1f753b6813dd80b27298af7063590ba2dcca9ff0b5930545d,701,11,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,100000000000000000000,450000,2100000000,0x1249c58b,0x1249c58b,mint(),,7309170,1.0,103669,14536372,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
8472638,0xafcd760b6afcd557d6f04111dfa5bb9caf1bed95226c890db81ef090bb421381,1567452595,0xcac4ca8b91a33e216c1c94f6fcc8482ef512a185bcc5a83396a67d518b00b6aa,702,29,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x39aa39c021dfbae8fac545936693ac917d5e7563,0,450000,2100000000,0xc5ebeaec0000000000000000000000000000000000000000000000000000000165a0bc00,0xc5ebeaec,borrow(uint256 borrowAmount),,7135817,1.0,343438,14536362,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
8545898,0x4f6264eec25c77a281a4c02885f52ea4b1b01763a1e142179ea3b172aa2a5d6b,1568440161,0x4222b4ec01ba08cbc4d02b349a76dc468ecb64a108f939818e369f61dbde2c5b,714,92,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x39aa39c021dfbae8fac545936693ac917d5e7563,0,450000,12000000000,0x0e752702ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,0x0e752702,repayBorrow(uint256 repayAmount),,6722738,1.0,114632,14463102,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
8545907,0x4058af83a62c48d395f3d6371bbb8d0a85cc7077e916ecbd15c73f5f0a1c4eb1,1568440263,0x54f30f06c66bb76a821fa5bb1f65307650bcc28b6b7f3c9c28cec928275e426f,715,56,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0,450000,12000000000,0xdb006a75000000000000000000000000000000000000000000000000000000745d41dc24,0xdb006a75,redeem(uint256 tokens),,6863230,1.0,265174,14463093,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
10318839,0x515e80165784aead86585b08c2492fbebd0c58630edddd2d8407abb24b951f6d,1592872437,0x32caa484d8e47a0aacbd7b91511487e163b8accdbd6e703970f19bcfce9ac865,960,165,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,100000000000000000000,242020,28500000000,0x1249c58b,0x1249c58b,mint(),,11092042,1.0,135937,12690161,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
10466349,0x22d348474e05911ba4f63a77eba4ce55c1afdcc0cd9905597cde68d6d32efbf9,1594846450,0x900d391db2eff42e6b3fa7311934b227de1259f13d7f7a5fa5fcbc77c1b0dbba,973,136,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0,612020,32500000000,0xdb006a75000000000000000000000000000000000000000000000000000000745835ebbf,0xdb006a75,redeem(uint256 tokens),,10182073,1.0,376970,12542651,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
10930336,0x04072abf76a394355a283a271c1f1ad2c0770d4d234cdf6f16afa74df3516e75,1601016752,0x60d625f026853e117176228fe5313a0d3f769b0e9a7c5bd23becf422bb8c426b,1257,116,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,534537,90000000000,0xa0712d6800000000000000000000000000000000000000000000222810ab0c0832661f9c,0xa0712d68,mint(uint256 mintedAmount),,6283022,1.0,311828,12078664,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
10946527,0x5f2f34c06f1ae86671da5b86b516699fa7687d088a294f35fff37ed8538b41d9,1601235410,0xce956fd4904e3ee277b7bede5d335c0a2a83825b0a258c7e10618cb4f2b6eeb9,1271,50,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,467850,70000000000,0xdb006a750000000000000000000000000000000000000000000000000002c5889c6a7880,0xdb006a75,redeem(uint256 tokens),,4470572,1.0,286857,12062473,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
11752354,0xcf1cd40d8ddb59b76d95f6244881bd34e5e39c8e85026a762a73b3e7a155cf74,1611944108,0x1efa3f8d31210b8dab87ad6e8123db0e668cf9aeb75e8d8429c46a90e1d74bf7,1370,83,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x39aa39c021dfbae8fac545936693ac917d5e7563,0,272020,128700000000,0xa0712d680000000000000000000000000000000000000000000000000000000d95f5f08d,0xa0712d68,mint(uint256 mintedAmount),,7007837,1.0,205716,11256646,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
